Product Name;Product Description;Product Code (SKU);Categories;Price ($);Status;Hub Diameter;Hub Thickness;Shaft Diameter;Weight;Diameter (INCHES);Pitch (INCHES);Diameter (METERS);Pitch (-);Color;UPC Code;Product Weight (NOT for Shipping Calculations) (LBS) ;Product Weight (NOT for Shipping Calculations) (grams) 
4.5x4;"1/2A Pylon / Combat
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04540;Pylon Combat, 1/2A Pylon Combat;2.3; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.5;4;0.1143;0.888888889;Grey;6.86661E+11;0.0088;4
4.5x4.1E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04541E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.28 in.;1/4 in.;0.14 oz.;4.5;4.1;0.1143;0.911111111;Grey;6.86661E+11;0.0088;4
4.6x3;1/2A Pylon / Combat;LP04630;Pylon Combat, 1/2A Pylon Combat;2.3; ;0.65 in.;0.31 in.;3/16 in.;0.18 oz.;4.6;3;0.11684;0.652173913;Grey;6.86661E+11;0.0113;5.1
4.7x4.2E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04742E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.26 in.;1/4 in.;0.11 oz.;4.7;4.2;0.11938;0.893617021;Grey;6.86661E+11;0.0069;3.1
4.75x4;1/2A Pylon / Combat;LP04754;Pylon Combat, 1/2A Pylon Combat;2.3; ;0.65 in.;0.34 in.;3/16 in.;0.21 oz.;4.75;4;0.12065;0.842105263;Grey;6.86661E+11;0.0131;5.9
4.75x4.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04745E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;4.5;0.12065;0.947368421;Grey;6.86661E+11;0.0088;4
4.75x4.5EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP04745EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);6.75; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.75;4.5;0.12065;0.947368421;Black;6.86661E+11;0.0069;3.1
4.75x4.75E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04747E;Multi Rotor (Electric Only), Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;4.75;0.12065;1;Grey;6.86661E+11;0.0088;4
4.75x4.75EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP04747EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);6.75; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.75;4.75;0.12065;1;Black;6.86661E+11;0.0069;3.1
4.75x4.75EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04747EP;Multi Rotor (Electric Only), Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;4.75;0.12065;1;Grey;6.86661E+11;0.0088;4
4.75x5.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04755E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;5.5;0.12065;1.157894737;Grey;6.86661E+11;0.0088;4
5x3;049 Free Flight;LP05030;Free Flight, Sport;2.3; ;0.65 in.;0.32 in.;3/16 in.;0.21 oz.;5;3;0.127;0.6;Grey;6.86661E+11;0.0131;5.9
5x3E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05030E;Thin Electric, Multi Rotor (Electric Only);2.25; ;0.50 in.;0.23 in.;1/4 in.;0.11 oz.;5;3;0.127;0.6;Grey;6.86661E+11;0.0069;3.1
5x3EP;"Thin Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05030EP;Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation);2.25; ;0.50 in.;0.23 in.;1/4 in.;0.11 oz.;5;3;0.127;0.6;Grey;6.86661E+11;0.0069;3.1
B5x3E-B4;"Quad-Copter Bundle (5x3E and 5x3EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)";LPB05030E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.23 in.;5 mm;0.11 oz.;5;3;0.127;0.6;Black;6.86661E+11;0.0276;12.5
BD5x3.7E-3-B4;"DURABLE
FPV Racing Bundle (5x3.7E and 5x3.7EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
For Higher KV Motors";LPBD305037E-B4;Bundle (2 CW & 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only), Black FPV, Black MR, Durable FPV;3.59;;0.50 in.;0.26 in.;5 mm;0.14 oz.;5;3.7;0.127;0.74;Black;6.86661E+11;0.0352;16
5x4R-LH;"Reversible ESC - LH, 2 Pack
3D Reversible ESC
Includes two LH rotation propellers";LP05040R-LH;Multi Rotor (Electric Only), 3D - Reversible ESC;2.75; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5;4;0.127;0.8;Grey;6.86661E+11;0.0176;8
5x4R-RH;"Reversible ESC - RH, 2 Pack
3D Reversible ESC
Includes two RH rotation propellers";LP05040R-RH;Multi Rotor (Electric Only), 3D - Reversible ESC;2.75; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5;4;0.127;0.8;Grey;6.86661E+11;0.0176;8
5x4E-3-B4;"3 Blade
FPV Racing Bundle (5x4E-3 and 5x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP305040E-B4;"Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only)";5.48; ;0.50 in.;0.27 in.;5 mm;0.21 oz.;5;4;0.127;0.8;Grey;6.86661E+11;0.0524;23.8
B5x4E-3-B4;"3 Blade
FPV Racing Bundle (5x4E-3 and 5x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB305040E-B4;Bundle (2 CW & 2 CCW), 3 Bladed (Electric Only), Black FPV, Black MR;5.48; ;0.50 in.;0.27 in.;5 mm;0.21 oz.;5;4;0.127;0.8;Black;6.86661E+11;0.0524;23.8
B5x4E-4-B4;"4 Blade
FPV Racing Bundle (5x4E-4 and 5x4EP-4)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB405040E-B4;Bundle (2 CW & 2 CCW), Black FPV, 4 Bladed (Electric Only), Black MR;5.48; ;0.50 in.;0.27 in.;5 mm;0.25 oz.;5;4;0.127;0.8;Black;6.86661E+11;0.0616;27.9
BD5x4E-3-B4;"DURABLE
3 Blade
FPV Racing Bundle (5x4E-3 and 5x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPBD305040E-B4;Bundle (2 CW & 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only), Black FPV, Black MR, Durable FPV;3.59;;0.50 in.;0.27 in.;5 mm;0.18 oz.;5;4;0.127;0.8;Black;6.86661E+11;0.044;20
BD5x4E-4-B4;"DURABLE
4 Blade
FPV Racing Bundle (5x4E-4 and 5x4EP-4)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPBD405040E-B4;Bundle (2 CW & 2 CCW), FPV Racing / Freestyle, Black FPV, 4 Bladed (Electric Only), Black MR, Durable FPV;3.79;;0.50 in.;0.27 in.;5 mm;0.18 oz.;5;4;0.127;0.8;Black;6.86661E+11;0.044;20
B5x4.3E-B4;"Bullnose - FPV Racing Bundle (5x4.3E and 5x4.3EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB05043E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.28 in.;5 mm;0.18 oz.;5;4.3;0.127;0.86;Black;6.86661E+11;0.044;20
B5x4.5E-B4;"Bullnose - FPV Racing Bundle (5x4.5E and 5x4.5EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB05045E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.30 in.;5 mm;0.18 oz.;5;4.5;0.127;0.9;Black;6.86661E+11;0.044;20
B5x4.6E-B4;"Bullnose - FPV Racing Bundle (5x4.6E and 5x4.6EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB05046E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.30 in.;5 mm;0.18 oz.;5;4.6;0.127;0.92;Black;6.86661E+11;0.044;20
5x5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05050E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.25; ;0.50 in.;0.25 in.;1/4 in.;0.14 oz.;5;5;0.127;1;Grey;6.86661E+11;0.0088;4
5x5E(AV);Aerovironment Electric;LP05050E(AV);Thin Electric;3.2;;0.50 in.;0.25 in.;5 mm;0.14 oz.;5;5;0.127;1;Grey;6.86661E+11;0.0088;4
5x5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05050EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.25; ;0.50 in.;0.25 in.;1/4 in.;0.14 oz.;5;5;0.127;1;Grey;6.86661E+11;0.0088;4
5x5F;"Folding Electric Propeller Blades
Use FH35mm-6 (LPFH2-6) Hub - not included";LP05050F;Folding (Electric Only);3.1; ;NA;See LPFH;See LPFH;0.11 oz.;5;5;0.127;1;Grey;6.86661E+11;0.0069;3.1
5x5FP;"Folding Electric Propeller Blades
Reverse Rotation
Use FH35mm-6 (LPFH2-6) Hub - not included";LP05050FP;Folding (Electric Only);3.1; ;NA;See LPFH;See LPFH;0.11 oz.;5;5;0.127;1;Grey;6.86661E+11;0.0069;3.1
B5x5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
The material is the same fiberglass composite used in our grey props, just the color is black";LPB05050E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Black Speed 400;2.25; ;0.50 in.;0.25 in.;1/4 in.;0.14 oz.;5;5;0.127;1;Black;6.86661E+11;0.0088;4
B5x5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
The material is the same fiberglass composite used in our grey props, just the color is black";LPB05050EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Speed 400 Reverse Rotation (Left Hand Rotation), Black Speed 400;2.25; ;0.50 in.;0.25 in.;1/4 in.;0.14 oz.;5;5;0.127;1;Black;6.86661E+11;0.0088;4
5x7.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPARM12SF
Includes Nylon spacer for hub";LP05075E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.35; ;0.50 in.;0.28 in.;5 mm;0.18 oz.;5;7.5;0.127;1.5;Grey;6.86661E+11;0.011;5
5x7.5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPARM12SF
Includes Nylon spacer for hub";LP05075EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.35; ;0.50 in.;0.28 in.;5 mm;0.18 oz.;5;7.5;0.127;1.5;Grey;6.86661E+11;0.011;5
5.1x4.5E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05145E;Thin Electric;2.25; ;0.50 in.;0.34 in.;1/4 in.;0.18 oz.;5.1;4.5;0.12954;0.882352941;Grey;6.86661E+11;0.0113;5.1
5.1x5.0E-B4;"FPV Racing Bundle (5.1x5.0E and 5.1x5.0EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP05150E-B4;"Multi Rotor (Electric Only), Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle";4.96; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5.1;5;0.12954;0.980392157;GREY;6.86661E+11;0.0352;16
BD5.1x5.0E-B4;"DURABLE
FPV Racing Bundle (5.1x5.0E and 5.1x5.0EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPBD05150E-B4;"Multi Rotor (Electric Only), Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle, Black FPV, Black MR, Durable FPV";3.49;;0.50 in.;0.28 in.;5 mm;0.11 oz.;5.1;5;0.12954;0.980392157;Black;6.86661E+11;0.0264;12
BD5.1x5.0E-3-B4;"DURABLE
3 Blade
FPV Racing Bundle (5.1x5.0E-3 and 5.1x5.0EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPBD305150E-B4;Bundle (2 CW & 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only), Black FPV, Black MR, Durable FPV;3.59;;0.50 in.;0.27 in.;5 mm;0.14 oz.;5.1;5;0.12954;0.980392157;Black;6.86661E+11;0.0352;16
5.2x6.0E-B4;"FPV Racing Bundle (5.2x6.0E and 5.2x6.0EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP05260E-B4;"Multi Rotor (Electric Only), Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle";4.96; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5.2;6;0.13208;1.153846154;Grey;6.86661E+11;0.0352;16
5.25x4.75E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP053475E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.25;4.75;0.13335;0.904761905;Grey;6.86661E+11;0.0088;4
5.25x5.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05355E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.25;5.5;0.13335;1.047619048;Grey;6.86661E+11;0.0088;4
5.25x6.25E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP053625E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.25;6.25;0.13335;1.19047619;Grey;6.86661E+11;0.0088;4
5.25x6.25EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP053625EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);6.75; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;5.25;6.25;0.13335;1.19047619;Black;6.86661E+11;0.0069;3.1
5.5x2 ;049 Free Flight;LP05520;Free Flight, Sport;2.3; ;0.65 in.;0.31 in.;3/16 in.;0.25 oz.;5.5;2;0.1397;0.363636364;Grey;6.86661E+11;0.0156;7.1
5.5x2.5 ;049 Free Flight;LP05525;Free Flight, Sport;2.3; ;0.65 in.;0.31 in.;3/16 in.;0.25 oz.;5.5;2.5;0.1397;0.454545455;Grey;6.86661E+11;0.0156;7.1
5.5x4.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05545E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;4.5;0.1397;0.818181818;Grey;6.86661E+11;0.0088;4
5.5x4.5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05545EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;4.5;0.1397;0.818181818;Grey;6.86661E+11;0.0088;4
B5.5x4.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
The material is the same fiberglass composite used in our grey props, just the color is black";LPB05545E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Black Speed 400;2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;4.5;0.1397;0.818181818;Black;6.86661E+11;0.0088;4
B5.5x4.5E-B4;"Speed 400 - FPV Racing Bundle (5.5x4.5E and 5.5x4.5EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)
Includes four sets of rings from LPARM12SF (3mm, 5mm, 6mm)";LPB05545E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;4.5;0.1397;0.818181818;Black;6.86661E+11;0.0352;16
B5.5x4.5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
The material is the same fiberglass composite used in our grey props, just the color is black";LPB05545EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Speed 400 Reverse Rotation (Left Hand Rotation), Black Speed 400;2.25; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;4.5;0.1397;0.818181818;Black;6.86661E+11;0.0088;4
5.5x4.7E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05547E;Thin Electric, Speed 400 (Electric Only);2.25; ;0.50 in.;0.27 in.;1/4 in.;0.14 oz.;5.5;4.7;0.1397;0.854545455;Grey;6.86661E+11;0.0088;4
5.5x6.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05565E;Speed 400 (Electric Only);2.25; ;0.50 in.;0.28 in.;1/4 in.;0.14 oz.;5.5;6.5;0.1397;1.181818182;Grey;6.86661E+11;0.0088;4
5.5x6.5EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP05565EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);6.75; ;0.50 in.;0.28 in.;1/4 in.;0.11 oz.;5.5;6.5;0.1397;1.181818182;Black;6.86661E+11;0.0069;3.1
5.7x3 ;"049 Free Flight
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP05730;Free Flight, Sport;2.3; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;5.7;3;0.14478;0.526315789;Grey;6.86661E+11;0.0113;5.1
6x2 ;049 Free Flight;LP06020;Free Flight, Sport;2.35; ;0.65 in.;0.32 in.;3/16 in.;0.28 oz.;6;2;0.1524;0.333333333;Grey;6.86661E+11;0.0175;7.9
6x3 ;049 Free Flight;LP06030;Free Flight, Sport;2.35; ;0.65 in.;0.33 in.;3/16 in.;0.28 oz.;6;3;0.1524;0.5;Grey;6.86661E+11;0.0175;7.9
6x3F;"Folding Electric Propeller Blades
Use FH35mm-6 (LPFH2-6) Hub - not included";LP06030F;Folding (Electric Only);3.2; ;NA;See LPFH;See LPFH;0.14 oz.;6;3;0.1524;0.5;Grey;6.86661E+11;0.0088;4
6x3R-LH;"Reversible ESC - LH, 2 Pack
3D Reversible ESC
Includes two LH rotation propellers and two sets of adapter rings from LPARM12SF";LP06030R-LH;Multi Rotor (Electric Only), 3D - Reversible ESC;2.95; ;0.50 in.;0.27 in.;5 mm;0.14 oz.;6;3;0.1524;0.5;Grey;6.86661E+11;0.0176;8
6x3R-RH;"Reversible ESC - RH, 2 Pack
3D Reversible ESC
Includes two RH rotation propellers and two sets of adapter rings from LPARM12SF";LP06030R-RH;Multi Rotor (Electric Only), 3D - Reversible ESC;2.95; ;0.50 in.;0.27 in.;5 mm;0.14 oz.;6;3;0.1524;0.5;Grey;6.86661E+11;0.0176;8
6x4 ;"Sport
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP06040;Sport;2.35; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;4;0.1524;0.666666667;Grey;6.86661E+11;0.0113;5.1
6x4E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06040E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.29; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;4;0.1524;0.666666667;Grey;6.86661E+11;0.0113;5.1
6x4E-B4;"Speed 400 - FPV Racing Bundle (6x4E and 6x4EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)";LP06040E-B4;"Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle";5.33; ;0.50 in.;0.25 in.;5 mm;0.18 oz.;6;4;0.1524;0.666666667;Grey;6.86661E+11;0.0452;20.5
6x4EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06040EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.29; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;4;0.1524;0.666666667;Grey;6.86661E+11;0.0113;5.1
B6x4E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
The material is the same fiberglass composite used in our grey props, just the color is black";LPB06040E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Black Speed 400;2.29; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;4;0.1524;0.666666667;Black;6.86661E+11;0.0113;5.1
B6x4E-B4;"Speed 400 - FPV Racing Bundle (6x4E and 6x4EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)";LPB06040E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;5.33; ;0.50 in.;0.25 in.;5 mm;0.18 oz.;6;4;0.1524;0.666666667;Black;6.86661E+11;0.0452;20.5
B6x4EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
The material is the same fiberglass composite used in our grey props, just the color is black";LPB06040EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Speed 400 Reverse Rotation (Left Hand Rotation), Black Speed 400;2.29; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;4;0.1524;0.666666667;Black;6.86661E+11;0.0113;5.1
