;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel;Dominated
1018;KOKAM;KOKAM SLPB526495;3.7;29700;2;3;182.238806;89.10000000000001;546.7164179;367078.3897;0.603;299.36385;395.604;106920.0;1;9;0
1020;KOKAM;KOKAM SLPB776495;3.7;47700;2;3;192.254902;143.1;576.7647059;408150.0977;0.918;432.41445;635.364;171720.0;1;9;0
1056;ProLiteX;TP4000-2SPX25;7.4;36000;25;50;189.7435897;1800.0;9487.179487;372046.2544;1.404;716.04;959.04;129600.0;1;9;0
1143;KOKAM;KOKAM SLPB526495;3.7;33000;2;3;182.238806;99.0;546.7164179;367078.3897;0.67;332.6265;439.56000000000006;118800.0;1;10;0
1145;KOKAM;KOKAM SLPB776495;3.7;53000;2;3;192.254902;159.0;576.7647059;408150.0977;1.02;480.4605;705.96;190800.0;1;10;0
1180;ProLiteX;TP4000-2SPX25;7.4;40000;25;50;189.7435897;2000.0;9487.179487;372046.2544;1.56;795.6;1065.6;144000.0;1;10;0
1269;KOKAM;KOKAM SLPB776495;3.7;58300;2;3;192.254902;174.9;576.7647059;408150.0977;1.122;528.5065500000001;776.556;209880.0;1;11;0
1304;ProLiteX;TP4000-2SPX25;7.4;44000;25;50;189.7435897;2200.0;9487.179487;372046.2544;1.716;875.1600000000001;1172.16;158400.0;1;11;0
1393;KOKAM;KOKAM SLPB776495;3.7;63600;2;3;192.254902;190.8;576.7647059;408150.0977;1.224;576.5526;847.152;228960.0;1;12;0
1428;ProLiteX;TP4000-2SPX25;7.4;48000;25;50;189.7435897;2400.0;9487.179487;372046.2544;1.872;954.72;1278.72;172800.0;1;12;0
1515;KOKAM;KOKAM SLPB526495;3.7;42900;2;3;182.238806;128.70000000000002;546.7164179;367078.3897;0.871;432.41445;571.428;154440.0;1;13;0
1517;KOKAM;KOKAM SLPB776495;3.7;68900;2;3;192.254902;206.7;576.7647059;408150.0977;1.3259999999999998;624.59865;917.748;248040.0;1;13;0
1552;ProLiteX;TP4000-2SPX25;7.4;52000;25;50;189.7435897;2600.0;9487.179487;372046.2544;2.028;1034.28;1385.28;187200.0;1;13;0
1641;KOKAM;KOKAM SLPB776495;3.7;74200;2;3;192.254902;222.6;576.7647059;408150.0977;1.428;672.6447000000001;988.344;267120.0;1;14;0
1675;ProLiteX;TP4000-2SPX25;7.4;56000;25;50;189.7435897;2800.0;9487.179487;372046.2544;2.184;1113.84;1491.84;201600.0;1;14;0
1762;KOKAM;KOKAM SLPB526495;3.7;49500;2;3;182.238806;148.5;546.7164179;367078.3897;1.005;498.93975;659.34;178200.0;1;15;0
1764;KOKAM;KOKAM SLPB776495;3.7;79500;2;3;192.254902;238.5;576.7647059;408150.0977;1.5299999999999998;720.69075;1058.94;286200.0;1;15;0
1797;ProLiteX;TP4000-2SPX25;7.4;60000;25;50;189.7435897;3000.0;9487.179487;372046.2544;2.34;1193.4;1598.4;216000.0;1;15;0
1886;KOKAM;KOKAM SLPB776495;3.7;84800;2;3;192.254902;254.4;576.7647059;408150.0977;1.632;768.7368;1129.536;305280.0;1;16;0
1919;ProLiteX;TP4000-2SPX25;7.4;64000;25;50;189.7435897;3200.0;9487.179487;372046.2544;2.496;1272.96;1704.96;230400.0;1;16;0
2008;KOKAM;KOKAM SLPB776495;3.7;90100;2;3;192.254902;270.3;576.7647059;408150.0977;1.734;816.78285;1200.132;324360.0;1;17;0
2041;ProLiteX;TP4000-2SPX25;7.4;68000;25;50;189.7435897;3400.0;9487.179487;372046.2544;2.652;1352.52;1811.52;244800.0;1;17;0
2128;KOKAM;KOKAM SLPB526495;3.7;59400;2;3;182.238806;178.20000000000002;546.7164179;367078.3897;1.206;598.7277;791.2080000000001;213840.0;1;18;0
2130;KOKAM;KOKAM SLPB776495;3.7;95400;2;3;192.254902;286.2;576.7647059;408150.0977;1.836;864.8289;1270.728;343440.0;1;18;0
2162;ProLiteX;TP4000-2SPX25;7.4;72000;25;50;189.7435897;3600.0;9487.179487;372046.2544;2.808;1432.08;1918.08;259200.0;1;18;0
2247;KOKAM;KOKAM SLPB776495;3.7;100700;2;3;192.254902;302.1;576.7647059;408150.0977;1.938;912.87495;1341.324;362520.0;1;19;0
2279;ProLiteX;TP4000-2SPX25;7.4;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;2.964;1511.64;2024.64;273600.0;1;19;0
2364;KOKAM;KOKAM SLPB776495;3.7;106000;2;3;192.254902;318.0;576.7647059;408150.0977;2.04;960.921;1411.92;381600.0;1;20;0
2396;ProLiteX;TP4000-2SPX25;7.4;80000;25;50;189.7435897;4000.0;9487.179487;372046.2544;3.12;1591.2;2131.2;288000.0;1;20;0
2479;KOKAM;KOKAM SLPB526495;7.4;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.134;66.5253;87.912;11880.0;2;1;0
2481;KOKAM;KOKAM SLPB776495;7.4;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.204;96.0921;141.192;19080.0;2;1;0
2492;ProLiteX;TP910-2SPX25J;14.8;910;25;50;143.2765957;45.5;7163.829787;291830.9859;0.094;46.15;48.4848;3276.0;2;1;0
2494;ProLiteX;TP1350-2SPX25J;14.8;1350;25;50;163.7704918;67.5;8188.52459;332379.5582;0.122;60.112;71.928;4860.0;2;1;0
2508;ProLiteX;TP2800-5SPX25;37.0;2800;25;50;178.6206897;140.0;8931.034483;373414.0715;0.58;277.44;372.96;10080.0;2;1;0
2509;ProLiteX;TP2800-6SPX25;44.4;2800;25;50;177.0940171;140.0;8854.700855;373414.0715;0.702;332.928;447.552;10080.0;2;1;0
2519;ProLiteX;TP4000-2SPX25;14.8;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;0.312;159.12;213.12;14400.0;2;1;0
2597;KOKAM;KOKAM SLPB526495;7.4;6600;2;3;182.238806;19.8;546.7164179;367078.3897;0.268;133.0506;175.824;23760.0;2;2;0
2599;KOKAM;KOKAM SLPB776495;7.4;10600;2;3;192.254902;31.8;576.7647059;408150.0977;0.408;192.1842;282.384;38160.0;2;2;0
2635;ProLiteX;TP4000-2SPX25;14.8;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;0.624;318.24;426.24;28800.0;2;2;0
2713;KOKAM;KOKAM SLPB526495;7.4;9900;2;3;182.238806;29.700000000000003;546.7164179;367078.3897;0.402;199.5759;263.736;35640.0;2;3;0
2715;KOKAM;KOKAM SLPB776495;7.4;15900;2;3;192.254902;47.7;576.7647059;408150.0977;0.612;288.2763;423.576;57240.0;2;3;0
2751;ProLiteX;TP4000-2SPX25;14.8;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;0.936;477.36;639.36;43200.0;2;3;0
2831;KOKAM;KOKAM SLPB776495;7.4;21200;2;3;192.254902;63.6;576.7647059;408150.0977;0.816;384.3684;564.768;76320.0;2;4;0
2867;ProLiteX;TP4000-2SPX25;14.8;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;1.248;636.48;852.48;57600.0;2;4;0
2945;KOKAM;KOKAM SLPB526495;7.4;16500;2;3;182.238806;49.5;546.7164179;367078.3897;0.67;332.6265;439.56000000000006;59400.0;2;5;0
2947;KOKAM;KOKAM SLPB776495;7.4;26500;2;3;192.254902;79.5;576.7647059;408150.0977;1.02;480.4605;705.96;95400.0;2;5;0
2983;ProLiteX;TP4000-2SPX25;14.8;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;1.56;795.6;1065.6;72000.0;2;5;0
3063;KOKAM;KOKAM SLPB776495;7.4;31800;2;3;192.254902;95.4;576.7647059;408150.0977;1.224;576.5526;847.152;114480.0;2;6;0
3099;ProLiteX;TP4000-2SPX25;14.8;24000;25;50;189.7435897;1200.0;9487.179487;372046.2544;1.872;954.72;1278.72;86400.0;2;6;0
3179;KOKAM;KOKAM SLPB776495;7.4;37100;2;3;192.254902;111.3;576.7647059;408150.0977;1.428;672.6447000000001;988.344;133560.0;2;7;0
3215;ProLiteX;TP4000-2SPX25;14.8;28000;25;50;189.7435897;1400.0;9487.179487;372046.2544;2.184;1113.84;1491.84;100800.0;2;7;0
3295;KOKAM;KOKAM SLPB776495;7.4;42400;2;3;192.254902;127.2;576.7647059;408150.0977;1.632;768.7368;1129.536;152640.0;2;8;0
3331;ProLiteX;TP4000-2SPX25;14.8;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;2.496;1272.96;1704.96;115200.0;2;8;0
3409;KOKAM;KOKAM SLPB526495;7.4;29700;2;3;182.238806;89.10000000000001;546.7164179;367078.3897;1.206;598.7277;791.2080000000001;106920.0;2;9;0
3411;KOKAM;KOKAM SLPB776495;7.4;47700;2;3;192.254902;143.1;576.7647059;408150.0977;1.836;864.8289;1270.728;171720.0;2;9;0
3447;ProLiteX;TP4000-2SPX25;14.8;36000;25;50;189.7435897;1800.0;9487.179487;372046.2544;2.808;1432.08;1918.08;129600.0;2;9;0
3527;KOKAM;KOKAM SLPB776495;7.4;53000;2;3;192.254902;159.0;576.7647059;408150.0977;2.04;960.921;1411.92;190800.0;2;10;0
3562;ProLiteX;TP4000-2SPX25;14.8;40000;25;50;189.7435897;2000.0;9487.179487;372046.2544;3.12;1591.2;2131.2;144000.0;2;10;0
3642;KOKAM;KOKAM SLPB776495;7.4;58300;2;3;192.254902;174.9;576.7647059;408150.0977;2.244;1057.0131;1553.112;209880.0;2;11;0
3677;ProLiteX;TP4000-2SPX25;14.8;44000;25;50;189.7435897;2200.0;9487.179487;372046.2544;3.432;1750.3200000000002;2344.32;158400.0;2;11;0
3757;KOKAM;KOKAM SLPB776495;7.4;63600;2;3;192.254902;190.8;576.7647059;408150.0977;2.448;1153.1052;1694.304;228960.0;2;12;0
3792;ProLiteX;TP4000-2SPX25;14.8;48000;25;50;189.7435897;2400.0;9487.179487;372046.2544;3.744;1909.44;2557.44;172800.0;2;12;0
3872;KOKAM;KOKAM SLPB776495;7.4;68900;2;3;192.254902;206.7;576.7647059;408150.0977;2.652;1249.1973;1835.496;248040.0;2;13;0
3907;ProLiteX;TP4000-2SPX25;14.8;52000;25;50;189.7435897;2600.0;9487.179487;372046.2544;4.056;2068.56;2770.56;187200.0;2;13;0
3987;KOKAM;KOKAM SLPB776495;7.4;74200;2;3;192.254902;222.6;576.7647059;408150.0977;2.856;1345.2894;1976.688;267120.0;2;14;0
4021;ProLiteX;TP4000-2SPX25;14.8;56000;25;50;189.7435897;2800.0;9487.179487;372046.2544;4.368;2227.6800000000003;2983.6800000000003;201600.0;2;14;0
4101;KOKAM;KOKAM SLPB776495;7.4;79500;2;3;192.254902;238.5;576.7647059;408150.0977;3.06;1441.3815;2117.88;286200.0;2;15;0
4134;ProLiteX;TP4000-2SPX25;14.8;60000;25;50;189.7435897;3000.0;9487.179487;372046.2544;4.68;2386.8;3196.8;216000.0;2;15;0
4214;KOKAM;KOKAM SLPB776495;7.4;84800;2;3;192.254902;254.4;576.7647059;408150.0977;3.264;1537.4736;2259.072;305280.0;2;16;0
4247;ProLiteX;TP4000-2SPX25;14.8;64000;25;50;189.7435897;3200.0;9487.179487;372046.2544;4.992;2545.92;3409.92;230400.0;2;16;0
4327;KOKAM;KOKAM SLPB776495;7.4;90100;2;3;192.254902;270.3;576.7647059;408150.0977;3.468;1633.5657;2400.264;324360.0;2;17;0
4440;KOKAM;KOKAM SLPB776495;7.4;95400;2;3;192.254902;286.2;576.7647059;408150.0977;3.672;1729.6578;2541.456;343440.0;2;18;0
4548;KOKAM;KOKAM SLPB776495;7.4;100700;2;3;192.254902;302.1;576.7647059;408150.0977;3.876;1825.7499;2682.648;362520.0;2;19;0
4580;ProLiteX;TP4000-2SPX25;14.8;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;5.928;3023.28;4049.28;273600.0;2;19;0
4656;KOKAM;KOKAM SLPB776495;7.4;106000;2;3;192.254902;318.0;576.7647059;408150.0977;4.08;1921.842;2823.84;381600.0;2;20;0
4688;ProLiteX;TP4000-2SPX25;14.8;80000;25;50;189.7435897;4000.0;9487.179487;372046.2544;6.24;3182.4;4262.4;288000.0;2;20;0
4757;KOKAM;KOKAM SLPB526495;11.1;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.201;99.78795;131.868;11880.0;3;1;0
4759;KOKAM;KOKAM SLPB776495;11.1;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.306;144.13815;211.788;19080.0;3;1;0
4791;ProLiteX;TP4000-2SPX25;22.200000000000003;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;0.4679999999999999;238.68;319.68;14400.0;3;1;0
4846;KOKAM;KOKAM SLPB526495;11.1;6600;2;3;182.238806;19.8;546.7164179;367078.3897;0.402;199.5759;263.736;23760.0;3;2;0
4848;KOKAM;KOKAM SLPB776495;11.1;10600;2;3;192.254902;31.8;576.7647059;408150.0977;0.612;288.2763;423.576;38160.0;3;2;0
4878;ProLiteX;TP4000-2SPX25;22.200000000000003;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;0.936;477.36;639.36;28800.0;3;2;0
4933;KOKAM;KOKAM SLPB526495;11.1;9900;2;3;182.238806;29.700000000000003;546.7164179;367078.3897;0.603;299.36385;395.604;35640.0;3;3;0
4935;KOKAM;KOKAM SLPB776495;11.1;15900;2;3;192.254902;47.7;576.7647059;408150.0977;0.918;432.41445;635.364;57240.0;3;3;0
4965;ProLiteX;TP4000-2SPX25;22.200000000000003;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;1.404;716.04;959.04;43200.0;3;3;0
5022;KOKAM;KOKAM SLPB776495;11.1;21200;2;3;192.254902;63.6;576.7647059;408150.0977;1.224;576.5526;847.152;76320.0;3;4;0
5052;ProLiteX;TP4000-2SPX25;22.200000000000003;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;1.872;954.72;1278.72;57600.0;3;4;0
5107;KOKAM;KOKAM SLPB526495;11.1;16500;2;3;182.238806;49.5;546.7164179;367078.3897;1.005;498.93975;659.34;59400.0;3;5;0
5109;KOKAM;KOKAM SLPB776495;11.1;26500;2;3;192.254902;79.5;576.7647059;408150.0977;1.5299999999999998;720.69075;1058.94;95400.0;3;5;0
5139;ProLiteX;TP4000-2SPX25;22.200000000000003;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;2.34;1193.4;1598.4;72000.0;3;5;0
5194;KOKAM;KOKAM SLPB526495;11.1;19800;2;3;182.238806;59.400000000000006;546.7164179;367078.3897;1.206;598.7277;791.2080000000001;71280.0;3;6;0
5196;KOKAM;KOKAM SLPB776495;11.1;31800;2;3;192.254902;95.4;576.7647059;408150.0977;1.836;864.8289;1270.728;114480.0;3;6;0
5226;ProLiteX;TP4000-2SPX25;22.200000000000003;24000;25;50;189.7435897;1200.0;9487.179487;372046.2544;2.808;1432.08;1918.08;86400.0;3;6;0
5283;KOKAM;KOKAM SLPB776495;11.1;37100;2;3;192.254902;111.3;576.7647059;408150.0977;2.142;1008.96705;1482.516;133560.0;3;7;0
5370;KOKAM;KOKAM SLPB776495;11.1;42400;2;3;192.254902;127.2;576.7647059;408150.0977;2.448;1153.1052;1694.304;152640.0;3;8;0
5400;ProLiteX;TP4000-2SPX25;22.200000000000003;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;3.744;1909.44;2557.44;115200.0;3;8;0
5457;KOKAM;KOKAM SLPB776495;11.1;47700;2;3;192.254902;143.1;576.7647059;408150.0977;2.754;1297.24335;1906.092;171720.0;3;9;0
5487;ProLiteX;TP4000-2SPX25;22.200000000000003;36000;25;50;189.7435897;1800.0;9487.179487;372046.2544;4.212;2148.12;2877.12;129600.0;3;9;0
5544;KOKAM;KOKAM SLPB776495;11.1;53000;2;3;192.254902;159.0;576.7647059;408150.0977;3.06;1441.3815;2117.88;190800.0;3;10;0
5573;ProLiteX;TP4000-2SPX25;22.200000000000003;40000;25;50;189.7435897;2000.0;9487.179487;372046.2544;4.68;2386.8;3196.8;144000.0;3;10;0
5630;KOKAM;KOKAM SLPB776495;11.1;58300;2;3;192.254902;174.9;576.7647059;408150.0977;3.366;1585.51965;2329.668;209880.0;3;11;0
5716;KOKAM;KOKAM SLPB776495;11.1;63600;2;3;192.254902;190.8;576.7647059;408150.0977;3.672;1729.6578;2541.456;228960.0;3;12;0
5802;KOKAM;KOKAM SLPB776495;11.1;68900;2;3;192.254902;206.7;576.7647059;408150.0977;3.978;1873.79595;2753.244;248040.0;3;13;0
5831;ProLiteX;TP4000-2SPX25;22.200000000000003;52000;25;50;189.7435897;2600.0;9487.179487;372046.2544;6.084;3102.84;4155.84;187200.0;3;13;0
5888;KOKAM;KOKAM SLPB776495;11.1;74200;2;3;192.254902;222.6;576.7647059;408150.0977;4.284;2017.9341;2965.032;267120.0;3;14;0
5973;KOKAM;KOKAM SLPB776495;11.1;79500;2;3;192.254902;238.5;576.7647059;408150.0977;4.59;2162.07225;3176.82;286200.0;3;15;0
6057;KOKAM;KOKAM SLPB776495;11.1;84800;2;3;192.254902;254.4;576.7647059;408150.0977;4.896;2306.2104;3388.608;305280.0;3;16;0
6084;ProLiteX;TP4000-2SPX25;22.200000000000003;64000;25;50;189.7435897;3200.0;9487.179487;372046.2544;7.487999999999999;3818.88;5114.88;230400.0;3;16;0
6141;KOKAM;KOKAM SLPB776495;11.1;90100;2;3;192.254902;270.3;576.7647059;408150.0977;5.202;2450.34855;3600.396;324360.0;3;17;0
6225;KOKAM;KOKAM SLPB776495;11.1;95400;2;3;192.254902;286.2;576.7647059;408150.0977;5.508;2594.4867;3812.184;343440.0;3;18;0
6251;ProLiteX;TP4000-2SPX25;22.200000000000003;72000;25;50;189.7435897;3600.0;9487.179487;372046.2544;8.424;4296.24;5754.24;259200.0;3;18;0
6304;KOKAM;KOKAM SLPB776495;11.1;100700;2;3;192.254902;302.1;576.7647059;408150.0977;5.814;2738.62485;4023.972;362520.0;3;19;0
6330;ProLiteX;TP4000-2SPX25;22.200000000000003;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;8.892;4534.92;6073.92;273600.0;3;19;0
6383;KOKAM;KOKAM SLPB776495;11.1;106000;2;3;192.254902;318.0;576.7647059;408150.0977;6.119999999999999;2882.763;4235.76;381600.0;3;20;0
6460;KOKAM;KOKAM SLPB526495;14.8;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.268;133.0506;175.824;11880.0;4;1;0
6462;KOKAM;KOKAM SLPB776495;14.8;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.408;192.1842;282.384;19080.0;4;1;0
6491;ProLiteX;TP4000-2SPX25;29.6;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;0.624;318.24;426.24;14400.0;4;1;0
6540;KOKAM;KOKAM SLPB776495;14.8;10600;2;3;192.254902;31.8;576.7647059;408150.0977;0.816;384.3684;564.768;38160.0;4;2;0
6567;ProLiteX;TP4000-2SPX25;29.6;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;1.248;636.48;852.48;28800.0;4;2;0
6616;KOKAM;KOKAM SLPB776495;14.8;15900;2;3;192.254902;47.7;576.7647059;408150.0977;1.224;576.5526;847.152;57240.0;4;3;0
6643;ProLiteX;TP4000-2SPX25;29.6;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;1.872;954.72;1278.72;43200.0;4;3;0
6692;KOKAM;KOKAM SLPB776495;14.8;21200;2;3;192.254902;63.6;576.7647059;408150.0977;1.632;768.7368;1129.536;76320.0;4;4;0
6719;ProLiteX;TP4000-2SPX25;29.6;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;2.496;1272.96;1704.96;57600.0;4;4;0
6768;KOKAM;KOKAM SLPB776495;14.8;26500;2;3;192.254902;79.5;576.7647059;408150.0977;2.04;960.921;1411.92;95400.0;4;5;0
6795;ProLiteX;TP4000-2SPX25;29.6;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;3.12;1591.2;2131.2;72000.0;4;5;0
6844;KOKAM;KOKAM SLPB776495;14.8;31800;2;3;192.254902;95.4;576.7647059;408150.0977;2.448;1153.1052;1694.304;114480.0;4;6;0
6871;ProLiteX;TP4000-2SPX25;29.6;24000;25;50;189.7435897;1200.0;9487.179487;372046.2544;3.744;1909.44;2557.44;86400.0;4;6;0
6920;KOKAM;KOKAM SLPB776495;14.8;37100;2;3;192.254902;111.3;576.7647059;408150.0977;2.856;1345.2894;1976.688;133560.0;4;7;0
6947;ProLiteX;TP4000-2SPX25;29.6;28000;25;50;189.7435897;1400.0;9487.179487;372046.2544;4.368;2227.6800000000003;2983.6800000000003;100800.0;4;7;0
