;Unnamed: 0;Voltage_V;Capacity_mAh;Capacity_As;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Weight_kg;Volume_cm3;Energy_kJ;n_series;n_parallel
2279;9;14.8;162800;586080;228.1666667;14652;20535;10.56;6624.288;8673.984;1;44
2332;9;14.8;166500;599400;228.1666667;14985;20535;10.8;6774.84;8871.12;1;45
2385;9;14.8;170200;612720;228.1666667;15318;20535;11.04;6925.392;9068.256;1;46
2438;9;14.8;173900;626040;228.1666667;15651;20535;11.28;7075.944;9265.392;1;47
2491;9;14.8;177600;639360;228.1666667;15984;20535;11.52;7226.496;9462.528;1;48
2544;9;14.8;181300;652680;228.1666667;16317;20535;11.76;7377.048;9659.664;1;49
2597;9;14.8;185000;666000;228.1666667;16650;20535;12;7527.6;9856.8;1;50
2650;9;29.6;3700;13320;228.1666667;333;20535;0.48;301.104;394.272;2;1
2653;31;14.8;750;2700;142.3076923;37.5;7115.384615;0.078;40.92;39.96;2;1
2654;32;22.2;750;2700;146.0526316;37.5;7302.631579;0.114;61.38;59.94;2;1
2655;33;14.8;910;3276;143.2765957;45.5;7163.829787;0.094;46.15;48.4848;2;1
2656;35;14.8;1350;4860;163.7704918;67.5;8188.52459;0.122;60.112;71.928;2;1
2667;50;44.4;2800;10080;177.0940171;140;8854.700855;0.702;332.928;447.552;2;1
2671;60;14.8;4000;14400;189.7435897;200;9487.179487;0.312;159.12;213.12;2;1
2703;9;29.6;7400;26640;228.1666667;666;20535;0.96;602.208;788.544;2;2
2707;32;22.2;1500;5400;146.0526316;75;7302.631579;0.228;122.76;119.88;2;2
2719;48;29.6;5600;20160;177.0940171;280;8854.700855;0.936;443.904;596.736;2;2
2724;60;14.8;8000;28800;189.7435897;400;9487.179487;0.624;318.24;426.24;2;2
2756;9;29.6;11100;39960;228.1666667;999;20535;1.44;903.312;1182.816;2;3
2777;60;14.8;12000;43200;189.7435897;600;9487.179487;0.936;477.36;639.36;2;3
2809;9;29.6;14800;53280;228.1666667;1332;20535;1.92;1204.416;1577.088;2;4
2862;9;29.6;18500;66600;228.1666667;1665;20535;2.4;1505.52;1971.36;2;5
2915;9;29.6;22200;79920;228.1666667;1998;20535;2.88;1806.624;2365.632;2;6
2968;9;29.6;25900;93240;228.1666667;2331;20535;3.36;2107.728;2759.904;2;7
3021;9;29.6;29600;106560;228.1666667;2664;20535;3.84;2408.832;3154.176;2;8
3074;9;29.6;33300;119880;228.1666667;2997;20535;4.32;2709.936;3548.448;2;9
3127;9;29.6;37000;133200;228.1666667;3330;20535;4.8;3011.04;3942.72;2;10
3180;9;29.6;40700;146520;228.1666667;3663;20535;5.28;3312.144;4336.992;2;11
3233;9;29.6;44400;159840;228.1666667;3996;20535;5.76;3613.248;4731.264;2;12
3286;9;29.6;48100;173160;228.1666667;4329;20535;6.24;3914.352;5125.536;2;13
3339;9;29.6;51800;186480;228.1666667;4662;20535;6.72;4215.456;5519.808;2;14
3392;9;29.6;55500;199800;228.1666667;4995;20535;7.2;4516.56;5914.08;2;15
3445;9;29.6;59200;213120;228.1666667;5328;20535;7.68;4817.664;6308.352;2;16
3498;9;29.6;62900;226440;228.1666667;5661;20535;8.16;5118.768;6702.624;2;17
3551;9;29.6;66600;239760;228.1666667;5994;20535;8.64;5419.872;7096.896;2;18
3604;9;29.6;70300;253080;228.1666667;6327;20535;9.12;5720.976;7491.168;2;19
3657;9;29.6;74000;266400;228.1666667;6660;20535;9.6;6022.08;7885.44;2;20
3710;9;29.6;77700;279720;228.1666667;6993;20535;10.08;6323.184;8279.712;2;21
3763;9;29.6;81400;293040;228.1666667;7326;20535;10.56;6624.288;8673.984;2;22
3816;9;29.6;85100;306360;228.1666667;7659;20535;11.04;6925.392;9068.256;2;23
3869;9;29.6;88800;319680;228.1666667;7992;20535;11.52;7226.496;9462.528;2;24
3922;9;29.6;92500;333000;228.1666667;8325;20535;12;7527.6;9856.8;2;25
3975;9;29.6;96200;346320;228.1666667;8658;20535;12.48;7828.704;10251.072;2;26
4028;9;29.6;99900;359640;228.1666667;8991;20535;12.96;8129.808;10645.344;2;27
4081;9;29.6;103600;372960;228.1666667;9324;20535;13.44;8430.912;11039.616;2;28
4134;9;29.6;107300;386280;228.1666667;9657;20535;13.92;8732.016;11433.888;2;29
4187;9;29.6;111000;399600;228.1666667;9990;20535;14.4;9033.12;11828.16;2;30
4240;9;29.6;114700;412920;228.1666667;10323;20535;14.88;9334.224;12222.432;2;31
4293;9;29.6;118400;426240;228.1666667;10656;20535;15.36;9635.328;12616.704;2;32
4346;9;29.6;122100;439560;228.1666667;10989;20535;15.84;9936.432;13010.976;2;33
4399;9;29.6;125800;452880;228.1666667;11322;20535;16.32;10237.536;13405.248;2;34
4452;9;29.6;129500;466200;228.1666667;11655;20535;16.8;10538.64;13799.52;2;35
4505;9;29.6;133200;479520;228.1666667;11988;20535;17.28;10839.744;14193.792;2;36
4558;9;29.6;136900;492840;228.1666667;12321;20535;17.76;11140.848;14588.064;2;37
4611;9;29.6;140600;506160;228.1666667;12654;20535;18.24;11441.952;14982.336;2;38
4664;9;29.6;144300;519480;228.1666667;12987;20535;18.72;11743.056;15376.608;2;39
4717;9;29.6;148000;532800;228.1666667;13320;20535;19.2;12044.16;15770.88;2;40
4770;9;29.6;151700;546120;228.1666667;13653;20535;19.68;12345.264;16165.152;2;41
4823;9;29.6;155400;559440;228.1666667;13986;20535;20.16;12646.368;16559.424;2;42
4876;9;29.6;159100;572760;228.1666667;14319;20535;20.64;12947.472;16953.696;2;43
4929;9;29.6;162800;586080;228.1666667;14652;20535;21.12;13248.576;17347.968;2;44
4982;9;29.6;166500;599400;228.1666667;14985;20535;21.6;13549.68;17742.24;2;45
5035;9;29.6;170200;612720;228.1666667;15318;20535;22.08;13850.784;18136.512;2;46
5088;9;29.6;173900;626040;228.1666667;15651;20535;22.56;14151.888;18530.784;2;47
5141;9;29.6;177600;639360;228.1666667;15984;20535;23.04;14452.992;18925.056;2;48
5194;9;29.6;181300;652680;228.1666667;16317;20535;23.52;14754.096;19319.328;2;49
5247;9;29.6;185000;666000;228.1666667;16650;20535;24;15055.2;19713.6;2;50
5300;9;44.4;3700;13320;228.1666667;333;20535;0.72;451.656;591.408;3;1
5321;60;22.2;4000;14400;189.7435897;200;9487.179487;0.468;238.68;319.68;3;1
5353;9;44.4;7400;26640;228.1666667;666;20535;1.44;903.312;1182.816;3;2
5374;60;22.2;8000;28800;189.7435897;400;9487.179487;0.936;477.36;639.36;3;2
5406;9;44.4;11100;39960;228.1666667;999;20535;2.16;1354.968;1774.224;3;3
5459;9;44.4;14800;53280;228.1666667;1332;20535;2.88;1806.624;2365.632;3;4
5512;9;44.4;18500;66600;228.1666667;1665;20535;3.6;2258.28;2957.04;3;5
5565;9;44.4;22200;79920;228.1666667;1998;20535;4.32;2709.936;3548.448;3;6
5618;9;44.4;25900;93240;228.1666667;2331;20535;5.04;3161.592;4139.856;3;7
5671;9;44.4;29600;106560;228.1666667;2664;20535;5.76;3613.248;4731.264;3;8
5724;9;44.4;33300;119880;228.1666667;2997;20535;6.48;4064.904;5322.672;3;9
5777;9;44.4;37000;133200;228.1666667;3330;20535;7.2;4516.56;5914.08;3;10
5830;9;44.4;40700;146520;228.1666667;3663;20535;7.92;4968.216;6505.488;3;11
5883;9;44.4;44400;159840;228.1666667;3996;20535;8.64;5419.872;7096.896;3;12
5936;9;44.4;48100;173160;228.1666667;4329;20535;9.36;5871.528;7688.304;3;13
5989;9;44.4;51800;186480;228.1666667;4662;20535;10.08;6323.184;8279.712;3;14
6042;9;44.4;55500;199800;228.1666667;4995;20535;10.8;6774.84;8871.12;3;15
6095;9;44.4;59200;213120;228.1666667;5328;20535;11.52;7226.496;9462.528;3;16
6148;9;44.4;62900;226440;228.1666667;5661;20535;12.24;7678.152;10053.936;3;17
6201;9;44.4;66600;239760;228.1666667;5994;20535;12.96;8129.808;10645.344;3;18
6254;9;44.4;70300;253080;228.1666667;6327;20535;13.68;8581.464;11236.752;3;19
6307;9;44.4;74000;266400;228.1666667;6660;20535;14.4;9033.12;11828.16;3;20
6360;9;44.4;77700;279720;228.1666667;6993;20535;15.12;9484.776;12419.568;3;21
6413;9;44.4;81400;293040;228.1666667;7326;20535;15.84;9936.432;13010.976;3;22
6466;9;44.4;85100;306360;228.1666667;7659;20535;16.56;10388.088;13602.384;3;23
6519;9;44.4;88800;319680;228.1666667;7992;20535;17.28;10839.744;14193.792;3;24
6572;9;44.4;92500;333000;228.1666667;8325;20535;18;11291.4;14785.2;3;25
6625;9;44.4;96200;346320;228.1666667;8658;20535;18.72;11743.056;15376.608;3;26
6678;9;44.4;99900;359640;228.1666667;8991;20535;19.44;12194.712;15968.016;3;27
6731;9;44.4;103600;372960;228.1666667;9324;20535;20.16;12646.368;16559.424;3;28
6784;9;44.4;107300;386280;228.1666667;9657;20535;20.88;13098.024;17150.832;3;29
6837;9;44.4;111000;399600;228.1666667;9990;20535;21.6;13549.68;17742.24;3;30
6890;9;44.4;114700;412920;228.1666667;10323;20535;22.32;14001.336;18333.648;3;31
6943;9;44.4;118400;426240;228.1666667;10656;20535;23.04;14452.992;18925.056;3;32
6996;9;44.4;122100;439560;228.1666667;10989;20535;23.76;14904.648;19516.464;3;33
7049;9;44.4;125800;452880;228.1666667;11322;20535;24.48;15356.304;20107.872;3;34
7102;9;44.4;129500;466200;228.1666667;11655;20535;25.2;15807.96;20699.28;3;35
7155;9;44.4;133200;479520;228.1666667;11988;20535;25.92;16259.616;21290.688;3;36
7208;9;44.4;136900;492840;228.1666667;12321;20535;26.64;16711.272;21882.096;3;37
7261;9;44.4;140600;506160;228.1666667;12654;20535;27.36;17162.928;22473.504;3;38
7314;9;44.4;144300;519480;228.1666667;12987;20535;28.08;17614.584;23064.912;3;39
7367;9;44.4;148000;532800;228.1666667;13320;20535;28.8;18066.24;23656.32;3;40
7420;9;44.4;151700;546120;228.1666667;13653;20535;29.52;18517.896;24247.728;3;41
7473;9;44.4;155400;559440;228.1666667;13986;20535;30.24;18969.552;24839.136;3;42
7526;9;44.4;159100;572760;228.1666667;14319;20535;30.96;19421.208;25430.544;3;43
7579;9;44.4;162800;586080;228.1666667;14652;20535;31.68;19872.864;26021.952;3;44
7632;9;44.4;166500;599400;228.1666667;14985;20535;32.4;20324.52;26613.36;3;45
7685;9;44.4;170200;612720;228.1666667;15318;20535;33.12;20776.176;27204.768;3;46
7738;9;44.4;173900;626040;228.1666667;15651;20535;33.84;21227.832;27796.176;3;47
7791;9;44.4;177600;639360;228.1666667;15984;20535;34.56;21679.488;28387.584;3;48
7844;9;44.4;181300;652680;228.1666667;16317;20535;35.28;22131.144;28978.992;3;49
7897;9;44.4;185000;666000;228.1666667;16650;20535;36;22582.8;29570.4;3;50
7950;9;59.2;3700;13320;228.1666667;333;20535;0.96;602.208;788.544;4;1
7954;32;44.4;750;2700;146.0526316;37.5;7302.631579;0.228;122.76;119.88;4;1
7966;48;59.2;2800;10080;177.0940171;140;8854.700855;0.936;443.904;596.736;4;1
7971;60;29.6;4000;14400;189.7435897;200;9487.179487;0.624;318.24;426.24;4;1
8003;9;59.2;7400;26640;228.1666667;666;20535;1.92;1204.416;1577.088;4;2
8056;9;59.2;11100;39960;228.1666667;999;20535;2.88;1806.624;2365.632;4;3
8109;9;59.2;14800;53280;228.1666667;1332;20535;3.84;2408.832;3154.176;4;4
8162;9;59.2;18500;66600;228.1666667;1665;20535;4.8;3011.04;3942.72;4;5
8215;9;59.2;22200;79920;228.1666667;1998;20535;5.76;3613.248;4731.264;4;6
8268;9;59.2;25900;93240;228.1666667;2331;20535;6.72;4215.456;5519.808;4;7
8321;9;59.2;29600;106560;228.1666667;2664;20535;7.68;4817.664;6308.352;4;8
8374;9;59.2;33300;119880;228.1666667;2997;20535;8.64;5419.872;7096.896;4;9
8427;9;59.2;37000;133200;228.1666667;3330;20535;9.6;6022.08;7885.44;4;10
8480;9;59.2;40700;146520;228.1666667;3663;20535;10.56;6624.288;8673.984;4;11
8533;9;59.2;44400;159840;228.1666667;3996;20535;11.52;7226.496;9462.528;4;12
8586;9;59.2;48100;173160;228.1666667;4329;20535;12.48;7828.704;10251.072;4;13
8639;9;59.2;51800;186480;228.1666667;4662;20535;13.44;8430.912;11039.616;4;14
8692;9;59.2;55500;199800;228.1666667;4995;20535;14.4;9033.12;11828.16;4;15
8745;9;59.2;59200;213120;228.1666667;5328;20535;15.36;9635.328;12616.704;4;16
8798;9;59.2;62900;226440;228.1666667;5661;20535;16.32;10237.536;13405.248;4;17
8851;9;59.2;66600;239760;228.1666667;5994;20535;17.28;10839.744;14193.792;4;18
8904;9;59.2;70300;253080;228.1666667;6327;20535;18.24;11441.952;14982.336;4;19
8957;9;59.2;74000;266400;228.1666667;6660;20535;19.2;12044.16;15770.88;4;20
9010;9;59.2;77700;279720;228.1666667;6993;20535;20.16;12646.368;16559.424;4;21
9063;9;59.2;81400;293040;228.1666667;7326;20535;21.12;13248.576;17347.968;4;22
9116;9;59.2;85100;306360;228.1666667;7659;20535;22.08;13850.784;18136.512;4;23
9169;9;59.2;88800;319680;228.1666667;7992;20535;23.04;14452.992;18925.056;4;24
9222;9;59.2;92500;333000;228.1666667;8325;20535;24;15055.2;19713.6;4;25
9275;9;59.2;96200;346320;228.1666667;8658;20535;24.96;15657.408;20502.144;4;26
9328;9;59.2;99900;359640;228.1666667;8991;20535;25.92;16259.616;21290.688;4;27
9381;9;59.2;103600;372960;228.1666667;9324;20535;26.88;16861.824;22079.232;4;28
9434;9;59.2;107300;386280;228.1666667;9657;20535;27.84;17464.032;22867.776;4;29
9487;9;59.2;111000;399600;228.1666667;9990;20535;28.8;18066.24;23656.32;4;30
9540;9;59.2;114700;412920;228.1666667;10323;20535;29.76;18668.448;24444.864;4;31
9593;9;59.2;118400;426240;228.1666667;10656;20535;30.72;19270.656;25233.408;4;32
9646;9;59.2;122100;439560;228.1666667;10989;20535;31.68;19872.864;26021.952;4;33
9699;9;59.2;125800;452880;228.1666667;11322;20535;32.64;20475.072;26810.496;4;34
9752;9;59.2;129500;466200;228.1666667;11655;20535;33.6;21077.28;27599.04;4;35
9805;9;59.2;133200;479520;228.1666667;11988;20535;34.56;21679.488;28387.584;4;36
9858;9;59.2;136900;492840;228.1666667;12321;20535;35.52;22281.696;29176.128;4;37
9911;9;59.2;140600;506160;228.1666667;12654;20535;36.48;22883.904;29964.672;4;38
9964;9;59.2;144300;519480;228.1666667;12987;20535;37.44;23486.112;30753.216;4;39
10017;9;59.2;148000;532800;228.1666667;13320;20535;38.4;24088.32;31541.76;4;40
10070;9;59.2;151700;546120;228.1666667;13653;20535;39.36;24690.528;32330.304;4;41
10123;9;59.2;155400;559440;228.1666667;13986;20535;40.32;25292.736;33118.848;4;42
10176;9;59.2;159100;572760;228.1666667;14319;20535;41.28;25894.944;33907.392;4;43
10229;9;59.2;162800;586080;228.1666667;14652;20535;42.24;26497.152;34695.936;4;44
10282;9;59.2;166500;599400;228.1666667;14985;20535;43.2;27099.36;35484.48;4;45
10335;9;59.2;170200;612720;228.1666667;15318;20535;44.16;27701.568;36273.024;4;46
10388;9;59.2;173900;626040;228.1666667;15651;20535;45.12;28303.776;37061.568;4;47
10441;9;59.2;177600;639360;228.1666667;15984;20535;46.08;28905.984;37850.112;4;48
10494;9;59.2;181300;652680;228.1666667;16317;20535;47.04;29508.192;38638.656;4;49
10547;9;59.2;185000;666000;228.1666667;16650;20535;48;30110.4;39427.2;4;50
10600;9;74;3700;13320;228.1666667;333;20535;1.2;752.76;985.68;5;1
10653;9;74;7400;26640;228.1666667;666;20535;2.4;1505.52;1971.36;5;2
10706;9;74;11100;39960;228.1666667;999;20535;3.6;2258.28;2957.04;5;3
10759;9;74;14800;53280;228.1666667;1332;20535;4.8;3011.04;3942.72;5;4
10812;9;74;18500;66600;228.1666667;1665;20535;6;3763.8;4928.4;5;5
10865;9;74;22200;79920;228.1666667;1998;20535;7.2;4516.56;5914.08;5;6
10918;9;74;25900;93240;228.1666667;2331;20535;8.4;5269.32;6899.76;5;7
10971;9;74;29600;106560;228.1666667;2664;20535;9.6;6022.08;7885.44;5;8
11024;9;74;33300;119880;228.1666667;2997;20535;10.8;6774.84;8871.12;5;9
11077;9;74;37000;133200;228.1666667;3330;20535;12;7527.6;9856.8;5;10
11130;9;74;40700;146520;228.1666667;3663;20535;13.2;8280.36;10842.48;5;11
11183;9;74;44400;159840;228.1666667;3996;20535;14.4;9033.12;11828.16;5;12
11236;9;74;48100;173160;228.1666667;4329;20535;15.6;9785.88;12813.84;5;13
11289;9;74;51800;186480;228.1666667;4662;20535;16.8;10538.64;13799.52;5;14
11342;9;74;55500;199800;228.1666667;4995;20535;18;11291.4;14785.2;5;15
11395;9;74;59200;213120;228.1666667;5328;20535;19.2;12044.16;15770.88;5;16
11448;9;74;62900;226440;228.1666667;5661;20535;20.4;12796.92;16756.56;5;17
11501;9;74;66600;239760;228.1666667;5994;20535;21.6;13549.68;17742.24;5;18
11554;9;74;70300;253080;228.1666667;6327;20535;22.8;14302.44;18727.92;5;19
11607;9;74;74000;266400;228.1666667;6660;20535;24;15055.2;19713.6;5;20
11660;9;74;77700;279720;228.1666667;6993;20535;25.2;15807.96;20699.28;5;21
11713;9;74;81400;293040;228.1666667;7326;20535;26.4;16560.72;21684.96;5;22
11766;9;74;85100;306360;228.1666667;7659;20535;27.6;17313.48;22670.64;5;23
11819;9;74;88800;319680;228.1666667;7992;20535;28.8;18066.24;23656.32;5;24
11872;9;74;92500;333000;228.1666667;8325;20535;30;18819;24642;5;25
11925;9;74;96200;346320;228.1666667;8658;20535;31.2;19571.76;25627.68;5;26
11978;9;74;99900;359640;228.1666667;8991;20535;32.4;20324.52;26613.36;5;27
12031;9;74;103600;372960;228.1666667;9324;20535;33.6;21077.28;27599.04;5;28
12084;9;74;107300;386280;228.1666667;9657;20535;34.8;21830.04;28584.72;5;29
12137;9;74;111000;399600;228.1666667;9990;20535;36;22582.8;29570.4;5;30
12190;9;74;114700;412920;228.1666667;10323;20535;37.2;23335.56;30556.08;5;31
12243;9;74;118400;426240;228.1666667;10656;20535;38.4;24088.32;31541.76;5;32
12296;9;74;122100;439560;228.1666667;10989;20535;39.6;24841.08;32527.44;5;33
12349;9;74;125800;452880;228.1666667;11322;20535;40.8;25593.84;33513.12;5;34
12402;9;74;129500;466200;228.1666667;11655;20535;42;26346.6;34498.8;5;35
12455;9;74;133200;479520;228.1666667;11988;20535;43.2;27099.36;35484.48;5;36
12508;9;74;136900;492840;228.1666667;12321;20535;44.4;27852.12;36470.16;5;37
12561;9;74;140600;506160;228.1666667;12654;20535;45.6;28604.88;37455.84;5;38
12614;9;74;144300;519480;228.1666667;12987;20535;46.8;29357.64;38441.52;5;39
12667;9;74;148000;532800;228.1666667;13320;20535;48;30110.4;39427.2;5;40
12720;9;74;151700;546120;228.1666667;13653;20535;49.2;30863.16;40412.88;5;41
12773;9;74;155400;559440;228.1666667;13986;20535;50.4;31615.92;41398.56;5;42
12826;9;74;159100;572760;228.1666667;14319;20535;51.6;32368.68;42384.24;5;43
12879;9;74;162800;586080;228.1666667;14652;20535;52.8;33121.44;43369.92;5;44
12932;9;74;166500;599400;228.1666667;14985;20535;54;33874.2;44355.6;5;45
12985;9;74;170200;612720;228.1666667;15318;20535;55.2;34626.96;45341.28;5;46
13038;9;74;173900;626040;228.1666667;15651;20535;56.4;35379.72;46326.96;5;47
13091;9;74;177600;639360;228.1666667;15984;20535;57.6;36132.48;47312.64;5;48
13144;9;74;181300;652680;228.1666667;16317;20535;58.8;36885.24;48298.32;5;49
13197;9;74;185000;666000;228.1666667;16650;20535;60;37638;49284;5;50
13250;9;88.8;3700;13320;228.1666667;333;20535;1.44;903.312;1182.816;6;1
13271;60;44.4;4000;14400;189.7435897;200;9487.179487;0.936;477.36;639.36;6;1
13303;9;88.8;7400;26640;228.1666667;666;20535;2.88;1806.624;2365.632;6;2
13356;9;88.8;11100;39960;228.1666667;999;20535;4.32;2709.936;3548.448;6;3
13409;9;88.8;14800;53280;228.1666667;1332;20535;5.76;3613.248;4731.264;6;4
13462;9;88.8;18500;66600;228.1666667;1665;20535;7.2;4516.56;5914.08;6;5
13515;9;88.8;22200;79920;228.1666667;1998;20535;8.64;5419.872;7096.896;6;6
13568;9;88.8;25900;93240;228.1666667;2331;20535;10.08;6323.184;8279.712;6;7
13621;9;88.8;29600;106560;228.1666667;2664;20535;11.52;7226.496;9462.528;6;8
13674;9;88.8;33300;119880;228.1666667;2997;20535;12.96;8129.808;10645.344;6;9
13727;9;88.8;37000;133200;228.1666667;3330;20535;14.4;9033.12;11828.16;6;10
13780;9;88.8;40700;146520;228.1666667;3663;20535;15.84;9936.432;13010.976;6;11
13833;9;88.8;44400;159840;228.1666667;3996;20535;17.28;10839.744;14193.792;6;12
13886;9;88.8;48100;173160;228.1666667;4329;20535;18.72;11743.056;15376.608;6;13
13939;9;88.8;51800;186480;228.1666667;4662;20535;20.16;12646.368;16559.424;6;14
13992;9;88.8;55500;199800;228.1666667;4995;20535;21.6;13549.68;17742.24;6;15
14045;9;88.8;59200;213120;228.1666667;5328;20535;23.04;14452.992;18925.056;6;16
14098;9;88.8;62900;226440;228.1666667;5661;20535;24.48;15356.304;20107.872;6;17
14151;9;88.8;66600;239760;228.1666667;5994;20535;25.92;16259.616;21290.688;6;18
14204;9;88.8;70300;253080;228.1666667;6327;20535;27.36;17162.928;22473.504;6;19
14257;9;88.8;74000;266400;228.1666667;6660;20535;28.8;18066.24;23656.32;6;20
14310;9;88.8;77700;279720;228.1666667;6993;20535;30.24;18969.552;24839.136;6;21
14363;9;88.8;81400;293040;228.1666667;7326;20535;31.68;19872.864;26021.952;6;22
14416;9;88.8;85100;306360;228.1666667;7659;20535;33.12;20776.176;27204.768;6;23
14469;9;88.8;88800;319680;228.1666667;7992;20535;34.56;21679.488;28387.584;6;24
14522;9;88.8;92500;333000;228.1666667;8325;20535;36;22582.8;29570.4;6;25
14575;9;88.8;96200;346320;228.1666667;8658;20535;37.44;23486.112;30753.216;6;26
14628;9;88.8;99900;359640;228.1666667;8991;20535;38.88;24389.424;31936.032;6;27
14681;9;88.8;103600;372960;228.1666667;9324;20535;40.32;25292.736;33118.848;6;28
14734;9;88.8;107300;386280;228.1666667;9657;20535;41.76;26196.048;34301.664;6;29
14787;9;88.8;111000;399600;228.1666667;9990;20535;43.2;27099.36;35484.48;6;30
14840;9;88.8;114700;412920;228.1666667;10323;20535;44.64;28002.672;36667.296;6;31
14893;9;88.8;118400;426240;228.1666667;10656;20535;46.08;28905.984;37850.112;6;32
14946;9;88.8;122100;439560;228.1666667;10989;20535;47.52;29809.296;39032.928;6;33
14999;9;88.8;125800;452880;228.1666667;11322;20535;48.96;30712.608;40215.744;6;34
15052;9;88.8;129500;466200;228.1666667;11655;20535;50.4;31615.92;41398.56;6;35
15105;9;88.8;133200;479520;228.1666667;11988;20535;51.84;32519.232;42581.376;6;36
15158;9;88.8;136900;492840;228.1666667;12321;20535;53.28;33422.544;43764.192;6;37
15211;9;88.8;140600;506160;228.1666667;12654;20535;54.72;34325.856;44947.008;6;38
15264;9;88.8;144300;519480;228.1666667;12987;20535;56.16;35229.168;46129.824;6;39
15317;9;88.8;148000;532800;228.1666667;13320;20535;57.6;36132.48;47312.64;6;40
15370;9;88.8;151700;546120;228.1666667;13653;20535;59.04;37035.792;48495.456;6;41
15423;9;88.8;155400;559440;228.1666667;13986;20535;60.48;37939.104;49678.272;6;42
15476;9;88.8;159100;572760;228.1666667;14319;20535;61.92;38842.416;50861.088;6;43
15529;9;88.8;162800;586080;228.1666667;14652;20535;63.36;39745.728;52043.904;6;44
15582;9;88.8;166500;599400;228.1666667;14985;20535;64.8;40649.04;53226.72;6;45
15635;9;88.8;170200;612720;228.1666667;15318;20535;66.24;41552.352;54409.536;6;46
15688;9;88.8;173900;626040;228.1666667;15651;20535;67.68;42455.664;55592.352;6;47
15741;9;88.8;177600;639360;228.1666667;15984;20535;69.12;43358.976;56775.168;6;48
15794;9;88.8;181300;652680;228.1666667;16317;20535;70.56;44262.288;57957.984;6;49
15847;9;88.8;185000;666000;228.1666667;16650;20535;72;45165.6;59140.8;6;50
15900;9;103.6;3700;13320;228.1666667;333;20535;1.68;1053.864;1379.952;7;1
15906;35;51.8;1350;4860;163.7704918;67.5;8188.52459;0.427;210.392;251.748;7;1
15953;9;103.6;7400;26640;228.1666667;666;20535;3.36;2107.728;2759.904;7;2
16006;9;103.6;11100;39960;228.1666667;999;20535;5.04;3161.592;4139.856;7;3
16059;9;103.6;14800;53280;228.1666667;1332;20535;6.72;4215.456;5519.808;7;4
16112;9;103.6;18500;66600;228.1666667;1665;20535;8.4;5269.32;6899.76;7;5
16165;9;103.6;22200;79920;228.1666667;1998;20535;10.08;6323.184;8279.712;7;6
16218;9;103.6;25900;93240;228.1666667;2331;20535;11.76;7377.048;9659.664;7;7
16271;9;103.6;29600;106560;228.1666667;2664;20535;13.44;8430.912;11039.616;7;8
16324;9;103.6;33300;119880;228.1666667;2997;20535;15.12;9484.776;12419.568;7;9
16377;9;103.6;37000;133200;228.1666667;3330;20535;16.8;10538.64;13799.52;7;10
16430;9;103.6;40700;146520;228.1666667;3663;20535;18.48;11592.504;15179.472;7;11
16483;9;103.6;44400;159840;228.1666667;3996;20535;20.16;12646.368;16559.424;7;12
16536;9;103.6;48100;173160;228.1666667;4329;20535;21.84;13700.232;17939.376;7;13
16589;9;103.6;51800;186480;228.1666667;4662;20535;23.52;14754.096;19319.328;7;14
16642;9;103.6;55500;199800;228.1666667;4995;20535;25.2;15807.96;20699.28;7;15
16695;9;103.6;59200;213120;228.1666667;5328;20535;26.88;16861.824;22079.232;7;16
16748;9;103.6;62900;226440;228.1666667;5661;20535;28.56;17915.688;23459.184;7;17
16801;9;103.6;66600;239760;228.1666667;5994;20535;30.24;18969.552;24839.136;7;18
16854;9;103.6;70300;253080;228.1666667;6327;20535;31.92;20023.416;26219.088;7;19
16907;9;103.6;74000;266400;228.1666667;6660;20535;33.6;21077.28;27599.04;7;20
16960;9;103.6;77700;279720;228.1666667;6993;20535;35.28;22131.144;28978.992;7;21
17013;9;103.6;81400;293040;228.1666667;7326;20535;36.96;23185.008;30358.944;7;22
17066;9;103.6;85100;306360;228.1666667;7659;20535;38.64;24238.872;31738.896;7;23
17119;9;103.6;88800;319680;228.1666667;7992;20535;40.32;25292.736;33118.848;7;24
17172;9;103.6;92500;333000;228.1666667;8325;20535;42;26346.6;34498.8;7;25
17225;9;103.6;96200;346320;228.1666667;8658;20535;43.68;27400.464;35878.752;7;26
17278;9;103.6;99900;359640;228.1666667;8991;20535;45.36;28454.328;37258.704;7;27
17331;9;103.6;103600;372960;228.1666667;9324;20535;47.04;29508.192;38638.656;7;28
17384;9;103.6;107300;386280;228.1666667;9657;20535;48.72;30562.056;40018.608;7;29
17437;9;103.6;111000;399600;228.1666667;9990;20535;50.4;31615.92;41398.56;7;30
17490;9;103.6;114700;412920;228.1666667;10323;20535;52.08;32669.784;42778.512;7;31
17543;9;103.6;118400;426240;228.1666667;10656;20535;53.76;33723.648;44158.464;7;32
17596;9;103.6;122100;439560;228.1666667;10989;20535;55.44;34777.512;45538.416;7;33
17649;9;103.6;125800;452880;228.1666667;11322;20535;57.12;35831.376;46918.368;7;34
17702;9;103.6;129500;466200;228.1666667;11655;20535;58.8;36885.24;48298.32;7;35
17755;9;103.6;133200;479520;228.1666667;11988;20535;60.48;37939.104;49678.272;7;36
17808;9;103.6;136900;492840;228.1666667;12321;20535;62.16;38992.968;51058.224;7;37
17861;9;103.6;140600;506160;228.1666667;12654;20535;63.84;40046.832;52438.176;7;38
